Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Bola16	Bola17	Bola18	Bola19	Bola20
J2078	0	5	14	15	22	24	26	28	30	42	43	50	53	55	58	59	68	78	96	99
J2079	6	31	34	36	39	43	44	45	51	52	54	62	63	64	65	69	72	78	79	84
J2080	1	7	9	11	12	20	29	31	39	41	42	54	55	59	67	69	72	73	74	87
J2081	0	1	3	4	18	23	29	30	43	48	50	57	63	73	79	80	86	87	94	95
J2082	5	13	19	20	25	28	42	44	49	54	55	57	66	68	76	78	84	86	89	90
J2083	5	9	12	14	24	29	32	41	44	54	57	66	68	72	74	76	89	90	93	94
J2084	9	12	14	17	20	23	24	27	34	43	46	47	51	59	65	72	73	78	89	94
J2085	2	8	13	15	25	29	32	35	39	40	42	44	50	54	61	64	65	66	71	73
J2086	3	14	19	20	21	23	24	27	29	32	40	47	48	50	53	56	65	69	71	76
J2087	1	4	7	9	11	23	24	30	36	37	47	51	52	56	59	65	67	75	82	95
J2088	2	4	11	12	14	15	26	28	31	38	39	43	53	67	69	70	75	82	87	94
J2089	3	8	15	17	18	23	24	38	39	42	53	59	69	76	77	81	86	88	91	93
J2090	4	5	8	16	17	18	20	22	24	25	27	33	40	52	63	81	85	86	91	93
J2091	8	14	22	26	28	31	33	35	42	43	44	49	50	52	53	64	78	89	91	96
J2092	6	9	10	20	28	31	52	53	55	57	59	60	61	63	64	69	71	78	80	98
J2093	10	13	17	18	24	31	32	34	39	45	48	49	58	62	64	66	71	76	88	91
J2094	4	24	29	31	35	48	49	54	57	58	64	68	74	82	89	90	92	94	96	97
J2095	4	5	13	14	15	22	25	34	43	51	52	54	58	60	63	76	84	88	90	97
J2096	2	5	8	14	21	28	33	36	38	46	47	53	60	62	65	71	72	81	82	97
J2097	0	8	10	22	33	36	48	49	50	52	54	58	64	66	67	71	86	89	91	98
